,text,tags
0,"bán đất mặt tiền đường lương thế vinh, an hải đông, sơn trà. dt 78.3m2 (5.5 x 14.2) hướng tây bắc bán đất tặng nhà c4 còn mới đẹp vị trí đường lương thế vinh, đường 5m5 lề 2m, nằm ngay trung tâm quận sơn trà, song song với đường võ văn kiệt, cách biển 500m, gần cầu rồng, rất thích hợp mua ở, đầu tư... giá bán 5,3 tỷ có thương lượng liên hệ zalo/callbđs newlands chuyên nhà đất thổ cư đà nẵng. pkd1 12 vũ văn dũng, sơn trà. pkd2 31 loseby, sơn trà.","B-LOAI_BDS I-LOAI_BDS B-VI_TRI I-VI_TRI B-DIA_CHI I-DIA_CHI I-DIA_CHI I-DIA_CHI I-DIA_CHI I-DIA_CHI I-DIA_CHI I-DIA_CHI I-DIA_CHI. O B-DIEN_TICH B-CHIEU_RONG O B-CHIEU_DAI B-HUONG_NHA I-HUONG_NHA I-HUONG_NHA B-LOAI_BDS I-LOAI_BDS O O O O O O O O B-DIA_CHI I-DIA_CHI I-DIA_CHI I-DIA_CHI B-DIA_CHI B-CHIEU_RONGmB-CHIEU_RONG B-VIA_HE I-VIA_HE, O O B-DIA_DIEM I-DIA_DIEM I-DIA_DIEM I-DIA_CHI I-DIA_CHI, O O O B-DIA_CHI O O O O B-DICH_VU B-CHIEU_RONG00m, O B-DICH_VU O O B-TIEM_NANG I-TIEM_NANG I-TIEM_NANG I-TIEM_NANG I-TIEM_NANG I-TIEM_NANG... O B-LOAI_BDS B-CHIEU_RONG,3 I-GIA O O O O O O O O O I-LOAI_BDS O O O O O O O O O I-DIA_CHI I-DIA_CHI. O O O I-DIA_CHI I-DIA_CHI."
1,áp lực ngân hàng chủ cần bán gấp căn nhà 2 tầng. mặt tiền kinh doanh sầm uất đường 7m5. sát chợ an hải bắc giá chỉ còn hơn 4 tỷ. vị trí. kinh doanh đa ngành nghề. trung tâm của quận sơn trà tp đà nẵng. cách quận thanh khê và quận hải châu chỉ một cây cầu bắt ngang sông hàn. công năng đầy đủ có 3 phòng ngủ 2wc. chủ rất cần tiền hạ chào bán gấp mua vào lời ngay lh em bình xem và thương lượng trực tiếp với chủ,O O B-DICH_VU I-DICH_VU O O B-LOAI_BDS I-LOAI_BDS I-LOAI_BDS I-LOAI_BDS B-SO_TANG I-SO_TANG. B-VI_TRI I-VI_TRI B-KINH_DOANH I-KINH_DOANH I-KINH_DOANH I-KINH_DOANH B-DUONG_KIET I-DUONG_KIET. O B-DICH_VU O O O O O O O B-GIA I-GIA. O O B-KINH_DOANH I-KINH_DOANH O O O B-DIA_DIEM I-DIA_DIEM O O O O O O O O O O O O O O O O O O B-DICH_VU O O B-DICH_VU O O O O O O B-SO_PHONG_NGU I-SO_PHONG_NGU I-SO_PHONG_NGU B-SO_TOILET. O O O I-VI_TRI O O B-LOAI_BDS I-LOAI_BDS O O O O O O O O O O O O O O O
2,"hot bất động sản đà nẵng việt nam, kênh đầu tư an toàn và tạo giá trị thặng dư cao nhất việt nam tới đây. bán sập villa giá 50 diện tích 200m2 (10 x 20m). vị trí đặc địa ngay cạnh khu đô thi nam hòa xuân. villa 2 tầng gồm 3 phòng ngủ 4wc, bể cá, áo sen. giá chỉ còn 6 tỷ lh. em bình. xem và thương lượng trực tiếp với người","O O O O O O O O O O O O O O O O O O O O O O O O O O O B-LOAI_BDS O O O O B-SO_TANG00mB-SO_TANG B-CHIEU_RONG O B-SO_TANG0m). O O O O O O O O O O O O B-LOAI_BDS B-SO_TANG I-SO_TANG O B-SO_PHONG_NGU I-SO_PHONG_NGU I-SO_PHONG_NGU B-SO_TOILET, B-TIEN_ICH_KHAC I-TIEN_ICH_KHAC, O O O O O B-GIA I-GIA O O O O O O O O O O O"
3,"bán 1 cặp nguyễn tất thành ,thanh khê tây ,thanh khê ,đà nẵng diện tích 240m2 ,ngang 10m dài 24m hướng đông lô đẹp ,thích hợp xây căn hộ ,khách sạn, quá thích hợp... sổ đỏ, pháp lý rõ ràng giá 96tr/m2 (23.040 ty) liên hệ sơn tư vấn ,cọc","O O O B-DIA_CHI I-DIA_CHI I-DIA_CHI I-DIA_CHI I-DIA_CHI I-DIA_CHI I-DIA_CHI I-DIA_CHI I-DIA_CHI I-DIA_CHI O O B-DIEN_TICH O I-CHIEU_RONG B-CHIEU_DAI I-CHIEU_DAI B-HUONG_NHA I-HUONG_NHA O O O I-TIEM_NANG I-TIEM_NANG I-TIEM_NANG I-TIEM_NANG O I-DICH_VU, I-TIEM_NANG B-TIEM_NANG I-TIEM_NANG... B-PHAP_LY I-PHAP_LY, B-PHAP_LY I-PHAP_LY I-PHAP_LY I-PHAP_LY O O B-GIA I-GIA O O O O O O"
4,"duy nhất lô biệt thự giai đoạn 1 ngang 15m, đường nguyễn lữ, khu đô thị nam việt á diện tích 270m2 ( ngang 15m) hướng tây nam đường 7.5m, vỉa hè 4m vị trí lô đất nằm đoạn đầu giai đoạn 1, gần sông thoáng mát. xung quanh là biệt thự đẳng cấp nội khu, an ninh đảm bảo. khu dân trí cao, gần lãnh sứ quán hàn quốc và trung quốc. thích hợp định cư, xây villa cho thuê, đầu tư ngắn hạn. giá 12.5 tỷ liên hệ zalo/call","O O B-LOAI_BDS B-LOAI_BDS I-LOAI_BDS O O O O O B-DUONG_KIET O O O O O I-HUONG_NHA O O O O B-DIEN_TICH O O O B-HUONG_NHA I-HUONG_NHA I-HUONG_NHA B-DUONG_KIET I-DUONG_KIET, B-VIA_HE I-VIA_HE I-VIA_HE O I-AN_NINH B-LOAI_BDS I-LOAI_BDS O O I-TIEM_NANG O O O O B-DICH_VU O O O O O B-LOAI_BDS I-LOAI_BDS O O O O B-AN_NINH I-AN_NINH I-AN_NINH I-AN_NINH. O B-AN_NINH I-AN_NINH I-AN_NINH, O B-TIEN_ICH_KHAC I-TIEN_ICH_KHAC I-TIEN_ICH_KHAC O O O O O B-TIEM_NANG I-TIEM_NANG I-TIEM_NANG I-TIEM_NANG I-TIEM_NANG B-LOAI_BDS I-TIEM_NANG I-TIEM_NANG I-TIEM_NANG I-TIEM_NANG I-TIEM_NANG I-TIEM_NANG. O O I-GIA O O O"
5,"bán khách sạn 6 tầng đường 5m5 khu biển phạm văn đồng, cách biển, công viên biển đông 300m, phước mỹ, sơn trà, đà nẵng. dt 64m2 (4 x 16) hướng tây. khách sạn 5 tầng, gồm mặt bằng tầng 1 và 10 phòng khách sạn. vị trí đường 5m5 cách biển phạm văn đồng, công viên biển đông chỉ 200m, khu tuyến phố du lịch phố hàn, gần biển thuận tiện cho việc kinh doanh lưu trú. giá bán đến công chứng 11 tỷ có thương lượng liên hệ xem nhà call/zalo bđs newlands chuyên nhà đất thổ cư đà nẵng. pkd1 12 vũ văn dũng, sơn trà. pkd2 31 loseby, sơn trà.","B-LOAI_BDS B-DICH_VU I-DICH_VU B-SO_TANG I-SO_TANG B-DUONG_KIET I-DUONG_KIET O B-DICH_VU O O O O B-DICH_VU, B-DICH_VU I-DICH_VU B-DICH_VU O B-DIEN_TICH, O O O O O O O B-DIEN_TICH B-CHIEU_RONG O O B-HUONG_NHA I-HUONG_NHA. B-DICH_VU I-DICH_VU B-SO_TANG I-SO_TANG, O O O I-SO_TANG O O B-TIEN_ICH_KHAC B-TIEN_ICH_KHAC B-DICH_VU I-DICH_VU. O O B-DUONG_KIET I-DUONG_KIET O B-DICH_VU O O O B-DICH_VU I-DICH_VU B-DICH_VU O O B-DIEN_TICH, O O O O O O O O B-DICH_VU B-TIEM_NANG I-TIEM_NANG I-TIEM_NANG I-TIEM_NANG I-TIEM_NANG I-TIEM_NANG I-TIEM_NANG I-TIEM_NANG. O B-LOAI_BDS O B-DICH_VU O B-GIA I-GIA O O O O O O O O O O O O O O O O O O O O O O O O O O O O O"
6,"bán lô đất diện tích maximum rộng góc 2 mặt tiền võ nguyên giáp nguyễn huy chương ,sơn trà, đà nẵng diện tích 2.700m2 hướng đông view sát biển võ nguyên giáp , xung quanh toàn bộ căn hộ dịch vụ , nhà hàng thuộc top vip thành phố đà nẵng thích hợp xây dựng cao tầng , sổ đỏ, pháp lý rõ ràng liên hệ sơn tư vấn 24/24 đưa đón khách từ sân bay dẫn xem đất miễn phí bất động sản sơn trà land chuyên đất biển, căn hộ, khách sạn địa chỉ 2 mặt tiền hoàng sa dương thạc","B-LOAI_BDS I-LOAI_BDS I-LOAI_BDS O O O O O B-VI_TRI I-VI_TRI I-VI_TRI I-VIEW I-VIEW I-VIEW I-DIA_CHI I-DIA_CHI I-DIA_CHI I-DIA_CHI I-DIA_CHI I-DIA_CHI I-DIA_CHI O O B-VI_TRI.700mB-VI_TRI B-HUONG_NHA I-HUONG_NHA B-VIEW I-VIEW I-VIEW I-VIEW I-VIEW I-VIEW O O O O O B-DICH_VU I-DICH_VU O O O B-DICH_VU I-DICH_VU O O O O O I-DIA_CHI I-DIA_CHI O O O O O O O B-PHAP_LY I-PHAP_LY, B-PHAP_LY I-PHAP_LY I-PHAP_LY I-PHAP_LY O O O O O B-VI_TRI4/B-VI_TRI4 O O B-DICH_VU O B-DICH_VU I-DICH_VU O O I-LOAI_BDS O O O O O O O O O I-LOAI_BDS I-VIEW, B-DICH_VU I-DICH_VU, B-DICH_VU I-DICH_VU O O B-VI_TRI I-VI_TRI I-VI_TRI O O O O"
7,"bán mặt tiền đinh đạt ,sơn trà, đà nẵng. dt 92m2. hướng tây đường 7.5m ,lề 5m gần biển, trường, chợ ,khu du lịch sầm uất sổ đỏ, pháp lý rõ ràng giá 7ti500 nhanh tay gọi sơn để được tư vấn bất động sản sơn trà land chuyên bđs sơn trà địa chỉ hoàng sa dương thạc","O B-VI_TRI I-VI_TRI B-DIA_CHI I-DIA_CHI I-DIA_CHI I-DIA_CHI I-DIA_CHI I-DIA_CHI. O B-DIEN_TICH. B-HUONG_NHA I-HUONG_NHA B-DUONG_KIET I-DUONG_KIET O I-VIA_HE O B-DICH_VU, B-DICH_VU, B-DICH_VU O O O B-KINH_DOANH I-KINH_DOANH B-PHAP_LY I-PHAP_LY, B-PHAP_LY I-PHAP_LY I-PHAP_LY I-PHAP_LY O B-GIA O O O O O O O O O O O O O O O O O O O O O O O O"
8,"chốt giá 6,0tỷ. giá bán cho khách cọc trong tuần nay, nếu không bán được chủ sẽ ngưng bán ạ. nhà 4 tầng kiệt hà bổng, sơn trà, đà nẵng. thiết kế theo kiểu homestay với 8 phòng(đơn và đôi). full nội thất tivi, điều hoà mỗi phòng. nhà được tân trang hồi đầu năm 2021 nên còn rất mới. sơn",O O B-GIA. O O O B-TIEN_ICH_KHAC O O O O O O O O O O O O O O B-SO_TANG I-SO_TANG B-DIA_CHI I-DIA_CHI I-DIA_CHI I-DIA_CHI I-DIA_CHI I-DIA_CHI I-DIA_CHI. O O O O O O O I-NOI_THAT(đơn O O B-NOI_THAT I-NOI_THAT I-NOI_THAT I-NOI_THAT I-NOI_THAT I-NOI_THAT I-NOI_THAT I-NOI_THAT. O O O O O O O O O O O O I-DIA_CHI
9,"bán vài lô rẻ hơn thị trường 20 lô chu huy mân đối diện âu thuyền 8 x 20 giá 6 tỷ x x x ( thích hợp làm kho xưởng và kinh doanh các dịch vụ cầu cảng). trần nguyên hãn đầu tuyến 5 x 20 giá 7 tỷ 100 ( view kênh, núi sơn trà thích hợp xây căn hộ, hotel) liên hệ bds sơn trà giá tốt xem đất và cọc. nhận ký gửi mua bán cho thuê bds sơn trà",O O O O O O B-DICH_VU O O O O O O O O O O O O O B-GIA I-GIA O O O O O O O O O O O O O O O B-DICH_VU O O O O O O B-CHIEU_RONG O O O B-GIA I-GIA O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
