,Mô tả,text_cleaned
0,"chính chủ cần bán đất 2mt tặng nhà 2 mê góc 2mt địa chỉ 25 đường hồ tùng mậu (góc hồ tùng mậu - hòa minh 5). nhà hiện chủ đang kinh doanh cà phê phía dưới trên ở. nhà ở phía đầu đường hồ tùng mậu sát biển, khu kinh doanh sầm uất đa ngành. nội thất cao cấp. để lại toàn bộ nội thất, thiết bị quán cà phê vào kinh doanh ngay. nhà có 2pn, 3wc, bếp...đầy đủ thiết kế có thể kinh doanh cả 2 tầng. khách thiện chí tới quán để gặp chủ và thương lượng.","chính chủ cần bán đất 2mt tặng nhà 2 mê góc 2mt địa chỉ 25 đường hồ tùng mậu (góc hồ tùng mậu hòa minh 5). nhà hiện chủ đang kinh doanh cà phê phía dưới trên ở. nhà ở phía đầu đường hồ tùng mậu sát biển, khu kinh doanh sầm uất đa ngành. nội thất cao cấp. để lại toàn bộ nội thất, thiết bị quán cà phê vào kinh doanh ngay. nhà có 2pn, 3wc, bếp ... đầy đủ thiết kế có thể kinh doanh cả 2 tầng. khách thiện chí tới quán để gặp chủ và thương lượng."
1,"- diện tích đất: 117m2 (5x23,5), đường rộng 10,5m lề mỗi bên 5m. hiện hữu nhà 2 tầng đầy đủ công năng- vị trí siêu vip của tuyến đường, gần sát chợ hàn, khu chợ du lịch nổi tiếng nhất đà nẵng cũng như khu vực miền trung, nơi tập trung khách du lịch đống đúc, đặc biệt khách hàn quốc, trung quốc... tất cả mặt bằng xung quanh đều kinh doanh đa ngành nghề phục vụ du lịch- chủ nhà cần tiền gấp để xoay sở công việc, nên đành bán căn nhà tiềm năng, giá 22 tỷ còn thương lượng ít- liên hệ em: thân tuấn (thương lượng & làm việc chính chủ)","diện tích đất 117m2 (5 x 23,5), đường rộng 10,5m lề mỗi bên 5m. hiện hữu nhà 2 tầng đầy đủ công năng vị trí siêu vip của tuyến đường, gần sát chợ hàn, khu chợ du lịch nổi tiếng nhất đà nẵng cũng như khu vực miền trung, nơi tập trung khách du lịch đống đúc, đặc biệt khách hàn quốc, trung quốc ... tất cả mặt bằng xung quanh đều kinh doanh đa ngành nghề phục vụ du lịch chủ nhà cần tiền gấp để xoay sở công việc, nên đành bán căn nhà tiềm năng, giá 22 tỷ còn thương lượng ít liên hệ em thân tuấn (thương lượng làm việc chính chủ)"
2,"đất mặt tiền an cư 7 dt đất: 100m² ngang 5m.hướng đông. đường 5m5 lề 3m.gần hồ nghinh, chính hữu, phạm văn đồng.khu tập trung tổ hợp khách sạn, căn hộ cao cấp, khách du lịch nội địa và quốc tế lưu trú đông đúc.thích hợp mua xây khách sạn, căn hộ, villa cho thuê, mua đầu tư.sổ đỏ, giấy tờ pháp lý đầy đủ.giá bán: 6,2 tỷ———————————————+ đất mt lê lâm dt 93m2 ngang 5m kẹp cống giá 6ty tl + đất mt trần đức thông dt 80m2 ngang 5 giá 6ty1 tl + đất mt 2mt nguyễn đình dt 124m2 giá 7ty7 tl + 2 lô mt tân thuận dt 160m2 ngang 10m giá 11ty tl","đất mặt tiền an cư 7 dt đất 100m² ngang 5m. hướng đông. đường 5m5 lề 3m. gần hồ nghinh, chính hữu, phạm văn đồng. khu tập trung tổ hợp khách sạn, căn hộ cao cấp, khách du lịch nội địa và quốc tế lưu trú đông đúc. thích hợp mua xây khách sạn, căn hộ, villa cho thuê, mua đầu tư. sổ đỏ, giấy tờ pháp lý đầy đủ. giá bán 6,2 tỷ đất mt lê lâm dt 93m2 ngang 5m kẹp cống giá 6ty tl đất mt trần đức thông dt 80m2 ngang 5 giá 6ty1 tl đất mt 2mt nguyễn đình dt 124m2 giá 7ty7 tl 2 lô mt tân thuận dt 160m2 ngang 10m giá 11ty tl"
3,"+ diện tích đất: 250m2 (10x25), hướng đông nam+ đường trịnh đình thảo là đường 2 chiều rộng 15m lề mỗi bên 7,5m, tuyến đường kinh doanh sầm uất nhộn nhịp, thông giữa nguyễn hữu thọ ra thẳng công viên thanh niên. mặt tiền ngang 10m rất đẹp phù hợp khách mua xây biệt thự, hoặc vừa ở vừa kinh doanh+ giá bán: 17 tỷ+ liên hệ e: thân tuấn (thương lượng & làm việc chính chủ)","diện tích đất 250m2 (10 x 25), hướng đông nam đường trịnh đình thảo là đường 2 chiều rộng 15m lề mỗi bên 7,5m, tuyến đường kinh doanh sầm uất nhộn nhịp, thông giữa nguyễn hữu thọ ra thẳng công viên thanh niên. mặt tiền ngang 10m rất đẹp phù hợp khách mua xây biệt thự, hoặc vừa ở vừa kinh doanh giá bán 17 tỷ liên hệ e thân tuấn (thương lượng làm việc chính chủ)"
4,"bán nhà mặt phố đường hoa lư, phường nại hiên đông, quận sơn trà- diện tích: 72 m2- ngang: 4 x 18m- nhà thiết kế gồm 2,5 tầng,1 lửng, 3 phòng ngủ, 2 wc. nhà đẹp mới xây, hiện đang cho thuê ở và kinh doanh , thu nhập ổn định- hướng: tây nam - đường trước nhà: 5.5 m, vỉa hè: 3 mphù hợp mua ở,a chị mua đầu tư sinh lợi,cho thuê có dòng tiền - giá: 3,7tỷ .","bán nhà mặt phố đường hoa lư, phường nại hiên đông, quận sơn trà diện tích 72 m2 ngang 4 x 18m nhà thiết kế gồm 2,5 tầng, 1 lửng, 3 phòng ngủ, 2 wc. nhà đẹp mới xây, hiện đang cho thuê ở và kinh doanh , thu nhập ổn định hướng tây nam đường trước nhà 5.5 m, vỉa hè 3 mphù hợp mua ở, a chị mua đầu tư sinh lợi, cho thuê có dòng tiền giá 3,7 tỷ ."
5,"bán nhà mặt tiền đường nguyễn thái học, phường hải châu 1, quận hải châu, 110m.dt: 110m² (4.85 x 24.5m) nở hậu. hiện đang cho thuê 90 tr/th thu nhập cao, ổn định. vị trí cực kỳ đắc địa tọa lạc ngay đường bạch đằng, đối diện chợ hàn, địa danh nổi tiếng, tập trung đông khách du lịch phù hợp kh mua ở kinh doanh, đầu tư giá trị, cho thuê kinh doanh giá cao. gia đình thiện ý bán nhanh.giá: 27.5 tỷ","bán nhà mặt tiền đường nguyễn thái học, phường hải châu 1, quận hải châu, 110m. dt 110m² (4.85 x 24.5m) nở hậu. hiện đang cho thuê 90 tr/th thu nhập cao, ổn định. vị trí cực kỳ đắc địa tọa lạc ngay đường bạch đằng, đối diện chợ hàn, địa danh nổi tiếng, tập trung đông khách du lịch phù hợp kh mua ở kinh doanh, đầu tư giá trị, cho thuê kinh doanh giá cao. gia đình thiện ý bán nhanh. giá 27.5 tỷ"
6,"- bán nhà góc 2 mặt tiền đường đống đa, p. thuận phước, q. hải châu.- dt: 6x17.5m (nở hậu 12.94m) 129m². vị trí đẹp, đắc địa gần khách sạn new phương đông tọa lạc ngay trung tâm thành phố, khu vực kinh doanh sầm uất đa ngành nghề, rất phù hợp dành cho khách hàng mua đầu tư kinh doanh kết hợp để ở. nhà cũ tiện xây mới. cơ hội duy nhất dành cho kh biết nắm bắt.- giá: 20 tỷ.","bán nhà góc 2 mặt tiền đường đống đa, p. thuận phước, q. hải châu. dt 6 x 17.5m (nở hậu 12.94m) 129m². vị trí đẹp, đắc địa gần khách sạn new phương đông tọa lạc ngay trung tâm thành phố, khu vực kinh doanh sầm uất đa ngành nghề, rất phù hợp dành cho khách hàng mua đầu tư kinh doanh kết hợp để ở. nhà cũ tiện xây mới. cơ hội duy nhất dành cho kh biết nắm bắt. giá 20 tỷ."
7,"bán nhà 2 tầng 1 tum mặt tiền đường dương trí trạch, an hải, sơn trà, đà nẵng✔️ dt 75m2✔️ hướng ✔️ công năng nhà : 3 phòng ngủ, 2wc, phòng khách, phòng thờ, bếp, sân thượng, sân xe….✔️ vị trí rất tuyệt vời, cách bãi tắm phạm văn đồng vài trăm mét thôi, ra biển chưa đến 5 phút, song song với đường chính hữu, cắt ngang đường morison và loseby, sát hồ nghinh✔️ giá bán : 6ty8 có thương lượng☎️📞 ms châu xem nhà và lvcc","bán nhà 2 tầng 1 tum mặt tiền đường dương trí trạch, an hải, sơn trà, đà nẵng dt 75m2 hướng công năng nhà 3 phòng ngủ, 2wc, phòng khách, phòng thờ, bếp, sân thượng, sân xe . vị trí rất tuyệt vời, cách bãi tắm phạm văn đồng vài trăm mét thôi, ra biển chưa đến 5 phút, song song với đường chính hữu, cắt ngang đường morison và loseby, sát hồ nghinh giá bán 6ty8 có thương lượng ms châu xem nhà và lvcc"
8,"chính chủ bán nhà 3 tầng đảo 2 khu vip hoà xuân 100% mới đẹp, hoà xuân, cẩm lệ, đà nẵng✔️ dt 120m2 ( 5x24m) ✔️ hướng đông bắc ✔️ vị trí rất đẹp, khu dân cư ở kín, an ninh tốt, dân trí cao, tiện ích đầy đủ…..✔nhà thiết kế hiện đại, thiết kế rất đẹp, trẻ trung, kết cấu nhà chắc chắn, nội thất cao cấp, sang trọng, nhà xây chất lượng, xịn xò, hoàn thiện rất tỉ mỉ, kiên cố. song song nguyễn phước  lan✔️ công năng gồm : 3pn, 4wc, phòng khách, bếp, phòng thờ, phòng khách, gara ô tô, sân phơi rộng rãi, công năng thiết kế nhà đầy đủ ánh sáng tự nhiên các phòng rất thoáng và mát mẻ ✔️ bán để lại toàn bộ nội thất xịn xò,  mua xong chỉ cần xách va li vào ở thôi 💰 giá bán : 7ty8 có tl☎️📞ms châu cem nhà","chính chủ bán nhà 3 tầng đảo 2 khu vip hoà xuân 100 mới đẹp, hoà xuân, cẩm lệ, đà nẵng dt 120m2 ( 5 x 24m) hướng đông bắc vị trí rất đẹp, khu dân cư ở kín, an ninh tốt, dân trí cao, tiện ích đầy đủ .. nhà thiết kế hiện đại, thiết kế rất đẹp, trẻ trung, kết cấu nhà chắc chắn, nội thất cao cấp, sang trọng, nhà xây chất lượng, xịn xò, hoàn thiện rất tỉ mỉ, kiên cố. song song nguyễn phước lan công năng gồm 3pn, 4wc, phòng khách, bếp, phòng thờ, phòng khách, gara ô tô, sân phơi rộng rãi, công năng thiết kế nhà đầy đủ ánh sáng tự nhiên các phòng rất thoáng và mát mẻ bán để lại toàn bộ nội thất xịn xò, mua xong chỉ cần xách va li vào ở thôi giá bán 7ty8 có tl ms châu cem nhà"
9,"- diện tích: 5 x 14,5 = 72,5 m2; hướng tây, đường 10m5 (vỉa hè trước nhà 13m)- nhà xây dựng 4 tầng, xây full 65m2 x 4 tầng.- nhà xây dựng phù hợp để kinh doan làm văn phòng, karaoke, spa, cải tạo làm căn hộ mini…vv- hiện tại đang cho công ty thuê 25 triệu/ tháng. hợp đồng còn 3 năm.- tiện ích lân cận: chợ lớn đầu mối, chợ hoà cường, nhiều công ty, trường học các cấp, bệnh viện… năm ngày trên đoạn sầm uất, con đường huyết mạch kết nối hải châu qua hoà xuân …vv- giá bán 10,4 tỷ (thương lượng và xem nhà trực tiếp)* cam kết giá rẻ nhất đường lê thanh nghị. xây đựng full 4 tầng.","diện tích 5 x 14,5 72,5 m2 hướng tây, đường 10m5 (vỉa hè trước nhà 13m) nhà xây dựng 4 tầng, xây full 65m2 x 4 tầng. nhà xây dựng phù hợp để kinh doan làm văn phòng, karaoke, spa, cải tạo làm căn hộ mini vv hiện tại đang cho công ty thuê 25 triệu/ tháng. hợp đồng còn 3 năm. tiện ích lân cận chợ lớn đầu mối, chợ hoà cường, nhiều công ty, trường học các cấp, bệnh viện năm ngày trên đoạn sầm uất, con đường huyết mạch kết nối hải châu qua hoà xuân vv giá bán 10,4 tỷ (thương lượng và xem nhà trực tiếp) * cam kết giá rẻ nhất đường lê thanh nghị. xây đựng full 4 tầng."
