,Unnamed: 0,Mô tả,text_cleaned
0,0,"🔴💥nhà 2 tầng kiệt k105 nguyễn tri phương👉bán nhà 2 tầng kiệt k105 nguyễn tri phương, thanh khê, đà nẵng👉dt: 40m2 đất nở hậu đẹp👉kiệt rãi nhựa kiệt rộng 3m5, cách đường chính chưa tới 50m👉hướng: nam 👉công năng: 2pn, 2wc, p.thờ, sân phơi, bán để lại toàn bộ nội thất trong nhà 👉giá: 2 tỷ 590 triệu","nhà 2 tầng kiệt k105 nguyễn tri phương bán nhà 2 tầng kiệt k105 nguyễn tri phương, thanh khê, đà nẵng dt 40m2 đất nở hậu đẹp kiệt rãi nhựa kiệt rộng 3m5, cách đường chính chưa tới 50m hướng nam công năng 2pn, 2wc, p.thờ, sân phơi, bán để lại toàn bộ nội thất trong nhà giá 2 tỷ 590 triệu"
1,1,"nhà mặt tiền đường nguyễn lương bằng👉bán nhà đường mặt tiền nguyễn lương bằng, quận liên chiểu, tp đà nẵng👉dt: 125m2 (5x25)m👉đầy đủ công năng sử dụng👉vị trí: mặt tiền kinh doanh buôn bán sầm uất, đường rộng 36m vỉa hè 5m, tiện ích xung quanh đầy đủ👉hiện tại đang cho thuê kinh doanh gần ngã 3 khu công nghiệp hòa khánh👉giá: 5,4 tỷzalo: o987💥901💥827","nhà mặt tiền đường nguyễn lương bằng bán nhà đường mặt tiền nguyễn lương bằng, quận liên chiểu, tp đà nẵng dt 125m2 (5 x 25)m đầy đủ công năng sử dụng vị trí mặt tiền kinh doanh buôn bán sầm uất, đường rộng 36m vỉa hè 5m, tiện ích xung quanh đầy đủ hiện tại đang cho thuê kinh doanh gần ngã 3 khu công nghiệp hòa khánh giá 5,4 tỷ zalo o987 901 827"
2,2,"đất 2 mặt kiệt trường chinh (có sẵn nhà c4)👉bán đất 2 mặt kiệt trường chinh - cẩm lệ - đà nẵng👉dt: 86,2m2 (ngang 4,5m, nở hậu 6m) - có sẵn nhà c4👉đất cách đường chính 20m👉hướng: tây bắc👉vị trí: khu đông dân cư, an ninh tốt, tiện ích xung quanh đầy đủ👉giá: 1,67 tỷ zalo: o987💥901💥827","đất 2 mặt kiệt trường chinh (có sẵn nhà c4) bán đất 2 mặt kiệt trường chinh cẩm lệ đà nẵng dt 86,2m2 (ngang 4,5m, nở hậu 6m) có sẵn nhà c4 đất cách đường chính 20m hướng tây bắc vị trí khu đông dân cư, an ninh tốt, tiện ích xung quanh đầy đủ giá 1,67 tỷ zalo o987 901 827"
3,3,"bán nhà 3 tầng mặt tiền đường hải sơn, hải châu - đà nẵng- diện tích: gần 55m x 3 tầng- nhà 1 mặt tiền + mặt kiệt ( thoáng mát)- công năng: + tầng 1: phòng khách, phòng ngủ, tolet, bếp ăn.+ tầng 2: 2 phòng ngủ có tolet khép kín+ tầng 3: phòng thờ, sân chill, phòng giặt phơi.- hướng: tây bắc- hồ sơ xây dựng, bản vẽ thiết kế đầy đủ. nhà full nội thất y hình- tiện ích: gần chợ đống đa, gần biển, khu dân cư dân trí cao, an ninh tốt, gần trường học các cấp- gía: 4,7 tỷzalo: o987💥901💥827","bán nhà 3 tầng mặt tiền đường hải sơn, hải châu đà nẵng diện tích gần 55m x 3 tầng nhà 1 mặt tiền mặt kiệt ( thoáng mát) công năng tầng 1 phòng khách, phòng ngủ, tolet, bếp ăn. tầng 2 2 phòng ngủ có tolet khép kín tầng 3 phòng thờ, sân chill, phòng giặt phơi. hướng tây bắc hồ sơ xây dựng, bản vẽ thiết kế đầy đủ. nhà full nội thất y hình tiện ích gần chợ đống đa, gần biển, khu dân cư dân trí cao, an ninh tốt, gần trường học các cấp gía 4,7 tỷ zalo o987 901 827"
4,4,"bán nhà gác lửng đúc đường trần nguyễn đán, hòa minh, liên chiểu, đà nẵng.- dtđ: 80m2 (ngang 5m)- đầy đủ công năng sử dụng- đường rộng: 10,5m, lề 5- vị trí: gần trường đại học bách khoa, gần biển, trục đường thông ra nguyễn sinh sắc. gần trung tâm quận và gần trường học các cấp. khu tập trung nhiều nhà cao tầng, kinh doanh buôn bán sầm uất. an ninh tốt, tiện ích xung quanh không thiếu thứ gì.- giá: 4 tỷ 15o triệuzalo: o987💥901💥827","bán nhà gác lửng đúc đường trần nguyễn đán, hòa minh, liên chiểu, đà nẵng. dtđ 80m2 (ngang 5m) đầy đủ công năng sử dụng đường rộng 10,5m, lề 5 vị trí gần trường đại học bách khoa, gần biển, trục đường thông ra nguyễn sinh sắc. gần trung tâm quận và gần trường học các cấp. khu tập trung nhiều nhà cao tầng, kinh doanh buôn bán sầm uất. an ninh tốt, tiện ích xung quanh không thiếu thứ gì. giá 4 tỷ 150 triệu zalo o987 901 827"
5,5,"+ vị trí : nhà nằm trong khu vực cực hiểm nhà bán,khu an ninh cực kỳ tốt, tiện ích bao la : gần bệnh viện vinmex,3 trường đại học lớn,chợ đầu mối...ở cực sướng.+ kết cấu : 3 tầng chủ là kỹ sư xây dựng nên cực kỳ kiên cố, thoáng ,sáng đủ công năng.+ giá : 5 tỷ ( có thương lượng, chủ thiện chí).☎️ khách quan tâm lh e tuyết xem nhà và mua nhanh giá tốt.⛔️ đảm bảo k có căn thứ 2 ⛔️","vị trí nhà nằm trong khu vực cực hiểm nhà bán, khu an ninh cực kỳ tốt, tiện ích bao la gần bệnh viện vinme x , 3 trường đại học lớn,chợ đầu mối... ở cực sướng. kết cấu 3 tầng chủ là kỹ sư xây dựng nên cực kỳ kiên cố, thoáng , sáng đủ công năng. giá 5 tỷ ( có thương lượng, chủ thiện chí). khách quan tâm lh e tuyết xem nhà và mua nhanh giá tốt. đảm bảo k có căn thứ 2"
6,6,"🍄🍄 nhà 3tang mặt tiền hoà minh chỉ 3ty. + ko thể rẻ hơn, mt đg 5m5 gần nguyễn huy tưởng, nguyễn đình tứ… + dt 90m2 nhà 3tang 3pn, sân xe… ( nhà 3tang 3ty hoà minh ko có căn thứ 2)  + lh huy, kb zalo tham khảo nguồn nhà phong phú.","nhà 3tang mặt tiền hoà minh chỉ 3ty. ko thể rẻ hơn, mt đg 5m5 gần nguyễn huy tưởng, nguyễn đình tứ... dt 90m2 nhà 3tang 3pn, sân xe... ( nhà 3tang 3ty hoà minh ko có căn thứ 2) lh huy, kb zalo tham khảo nguồn nhà phong phú."
7,7,"🆘🆘 nhà mới kiệt oto tôn đản chỉ 2ty15.  + dt 60m2 ngang hơn 5m rộng thoáng, 2pn ( có thể thêm pn ), sân xe… + kiệt oto tôn đản, hoà an - cẩm lệ nhiều tiện ích. + lh huy, kb zalo tham khảo nguồn nhà phong phú.","nhà mới kiệt oto tôn đản chỉ 2ty15. dt 60m2 ngang hơn 5m rộng thoáng, 2pn ( có thể thêm pn ), sân xe... kiệt oto tôn đản, hoà an cẩm lệ nhiều tiện ích. lh huy, kb zalo tham khảo nguồn nhà phong phú."
8,8,"🔴🔴. mặt tiền sát biển chỉ 2ty4.  + đào công soạn cách biển 150m, tặng nhà c4.  + gần resort mikazuki nhật bản, khách du lịch khách nước ngoài đủ thứ. + lh huy, kb zalo tham khảo thêm nguồn nhà phong phú.",". mặt tiền sát biển chỉ 2ty4. đào công soạn cách biển 150m, tặng nhà c4. gần resort mikazuki nhật bản, khách du lịch khách nước ngoài đủ thứ. lh huy, kb zalo tham khảo thêm nguồn nhà phong phú."
9,9,"⛔️⛔️ căn góc kinh doanh ngay phố chỉ 6tyx. + lô góc 2 mặt tiền đg 5m5 sầm uất thanh khê gần hà huy tập. + nhà 3tang 4pn mới đẹp, dt lớn phù hợp kd đa ngành nghề, hiện đang cho cty thuê 150tr/năm. + lh huy, kb zalo tham khảo nguồn nhà phong phú.","căn góc kinh doanh ngay phố chỉ 6ty x . lô góc 2 mặt tiền đg 5m5 sầm uất thanh khê gần hà huy tập. nhà 3tang 4pn mới đẹp, dt lớn phù hợp kd đa ngành nghề, hiện đang cho cty thuê 150tr/năm. lh huy, kb zalo tham khảo nguồn nhà phong phú."
